classifier,encoder,ba,ba_std,f1,auc,mcc
RF,vit_large,0.4826441102756892,0.03094978071937013,0.34702954146700904,0.5997502848029164,-0.05873065845689773
LR,vit_large,0.6113362952836636,0.07996622081672426,0.5485905189476888,0.6836700843016633,0.2224762694379263
SVM_Lin,vit_large,0.6201013898382319,0.13666989302594507,0.5830656975433852,0.6763991797676008,0.24472828389507256
SVM_RBF,vit_large,0.5,0.0,0.32917915913780094,0.589902939166097,0.0
