model,best_clf,ba,ba_std,f1,auc,mcc
VideoMAE-large,LR,0.6362087035771247,0.10911859195525453,0.60434229390681,0.685274550011392,0.2770406381452714
TimeSformer,LR,0.55045340624288,0.16423476780174023,0.5032284505968716,0.43444702665755297,0.0801225695162541
ViViT,SVM_Lin,0.5718124857598542,0.14822320354083365,0.5121829697880382,0.5351565276828435,0.1300449770108464
