model,classifier,ba,ba_std,f1,auc,mcc
VideoMAE-base,RF,0.5054032809295967,0.09827007729039906,0.414477889260498,0.5705709728867624,0.0049157578678001804
VideoMAE-base,LR,0.6090282524493051,0.15611271209604513,0.5385909767831965,0.6326552745500115,0.23992348854443946
VideoMAE-base,SVM_Lin,0.6206949191159717,0.19679085699777535,0.5493669374104156,0.6605363408521303,0.2505698615297938
VideoMAE-base,SVM_RBF,0.4659774436090225,0.047573476083429496,0.32096942095832015,0.5488758259284576,-0.1039102185935938
